head	display_name	rows	in_shopping	poi_type	store_kind	concentration	majority_category	categories	already_in_dictionary
auchan supermercado	Auchan Supermercado	3	0	store	any	1.0	discount_store	discount_store:3	False
4 estacoes	4 Estações	3	0	store	clothing	0.667	clothing_store	clothing_store:2|home_goods_store:1	False
sika portugal	Sika Portugal	3	0	store	hardware	1.0	paint_store	paint_store:3	False
joias e	Joias e	3	1	store	jewelry	1.0	jewelry_store	jewelry_store:2|shopping:1	False
kiehl s	Kiehl's	3	0	store	beauty	1.0	hair_supply_stores	hair_supply_stores:1|perfume_store:1|cosmetic_and_beauty_supplies:1	False
le creuset	Le Creuset	3	0	store	home	1.0	home_goods_store	home_goods_store:3	False
auto pneus	Auto Pneus	3	0	store	home	1.0	home_goods_store	home_goods_store:2|home_and_garden:1	False
ecco shoes	ECCO Shoes	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
iservices	iServices	3	0	store	electronics	1.0	electronics	electronics:3	False
paladares do	Paladares do	3	1	store	health_food	1.0	health_food_store	health_food_store:2|shopping:1	False
made by	Made by	3	1	store	womens_clothing	1.0	womens_clothing_store	womens_clothing_store:2|shopping:1	False
gant	GANT	3	0	store	mens_clothing	0.667	mens_clothing_store	mens_clothing_store:2|clothing_store:1	False
bulhosa books	Bulhosa Books	3	0	store	books	1.0	bookstore	bookstore:3	False
liu jo	Liu Jo	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
cacicambra	Cacicambra	3	0	store	sports	0.667	outdoor_gear	outdoor_gear:2|hunting_and_fishing_supplies:1	False
ourivesaria rosa	Ourivesaria Rosa	3	1	store	jewelry	1.0	jewelry_store	jewelry_store:2|shopping:1	False
quatro patas	Quatro Patas	3	1	store	pet	1.0	pet_store	pet_store:2|shopping:1	False
garrafeira de	Garrafeira de	3	1	store	wine_and_spirits	1.0	liquor_store	liquor_store:2|shopping:1	False
radio holland	Radio Holland	3	0	store	electronics	1.0	electronics	electronics:3	False
andre opticas	André Ópticas	3	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:3	False
luz e	Luz e	3	0	store	electronics	1.0	audio_visual_equipment_store	audio_visual_equipment_store:3	False
sons do	Sons do	3	1	store	musical_instrument	1.0	musical_instrument_store	musical_instrument_store:2|shopping:1	False
sapataria primavera	Sapataria Primavera	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
papelaria joao	Papelaria João	3	1	store	office_equipment	1.0	office_equipment	office_equipment:2|shopping:1	False
industria dos	Indústria dos	3	1	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:2|shopping:1	False
homycasa	HomyCasa	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
outlaw	Outlaw	3	0	store	sports	1.0	sports_wear	sports_wear:3	False
sociedad de	Sociedad de	3	0	store	hardware	0.667	building_supply_store	building_supply_store:2|clothing_store:1	False
telemoveis e	Telemoveis e	3	0	store	phone	1.0	mobile_phone_store	mobile_phone_store:3	False
sofmovel	Sofmovel	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
dara jewels	Dara Jewels	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
ourivesaria brilhante	Ourivesaria Brilhante	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
doce lar	Doce Lar	3	0	store	furniture	0.667	furniture_store	furniture_store:2|home_goods_store:1	False
simbologia	Simbologia	3	0	store	clothing	0.667	clothing_store	clothing_store:2|office_equipment:1	False
punt roma	Punt Roma	3	0	store	womens_clothing	1.0	womens_clothing_store	womens_clothing_store:3	False
lacos e	Laços e	3	0	store	childrens_clothing	0.667	childrens_clothing_store	childrens_clothing_store:2|furniture_store:1	False
moveis fernandes	Móveis Fernandes	3	1	store	furniture	1.0	furniture_store	furniture_store:2|shopping:1	False
flamingo store	Flamingo Store	3	0	store	clothing	0.667	clothing_store	clothing_store:2|fashion:1	False
redecor algarve	Redecor Algarve	3	0	store	hardware	0.667	building_supply_store	building_supply_store:2|home_goods_store:1	False
patinhas mimadas	Patinhas Mimadas	3	0	store	pet	1.0	pet_store	pet_store:3	False
pollux	Pollux	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
salto alto	Salto Alto	3	0	store	shoes	0.667	shoe_store	shoe_store:2|clothing_store:1	False
livraria a	Livraria A	3	0	store	books	1.0	bookstore	bookstore:3	False
nike store	Nike Store	3	0	store	sports	1.0	sporting_goods	sporting_goods:3	True
ourivesaria alianca	Ourivesaria Aliança	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
el ganso	El Ganso	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
jose antonio	José António	3	0	store	hardware	0.667	building_supply_store	building_supply_store:2|wholesale_store:1	False
forall phones	Forall Phones	3	0	store	phone	1.0	mobile_phone_store	mobile_phone_store:3	False
superdry	Superdry	3	0	store	clothing	0.667	clothing_store	clothing_store:2|mens_clothing_store:1	False
portugal wine	Portugal Wine	3	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:2|beer_wine_and_spirits:1	False
ourivesaria da	Ourivesaria da	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
tabacaria rossio	Tabacaria Rossio	3	0	store	tobacco	0.667	tobacco_shop	tobacco_shop:2|flowers_and_gifts_shop:1	False
tudo4mobile	Tudo4Mobile	3	0	store	phone	1.0	mobile_phone_store	mobile_phone_store:3	False
fashion star	Fashion Star	3	0	store	clothing	0.667	clothing_store	clothing_store:2|womens_clothing_store:1	False
rosa clara	Rosa Clará	3	0	store	womens_clothing	0.667	womens_clothing_store	womens_clothing_store:2|bridal_shop:1	False
ba sh	Ba &	3	0	store	womens_clothing	1.0	womens_clothing_store	womens_clothing_store:3	False
machado joalheiro	Machado Joalheiro	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
mascarilha	Mascarilha	3	0	store	costume	1.0	costume_store	costume_store:3	False
fashion clinic	Fashion Clinic	3	1	store	clothing	1.0	clothing_store	clothing_store:2|shopping:1	False
ermenegildo zegna	Ermenegildo Zegna	3	0	store	mens_clothing	0.667	mens_clothing_store	mens_clothing_store:2|clothing_store:1	False
fly london	Fly London	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
suffa store	Suffa Store	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
costa nova	Costa Nova	3	0	store	home	0.667	home_and_garden	home_and_garden:2|outlet_store:1	False
tintas tincomil	Tintas Tincomil	3	0	store	hardware	1.0	building_supply_store	building_supply_store:3	False
wine shop	Wine Shop	3	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:3	False
tabacaria santa	Tabacaria Santa	3	0	store	tobacco	0.667	tobacco_shop	tobacco_shop:2|newspaper_and_magazines_store:1	False
camper	Camper	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
element	Element	3	0	store	fashion_accessories	0.667	fashion_accessories_store	fashion_accessories_store:2|clothing_store:1	False
smoke quality	Smoke Quality	3	1	store	e_cigarette	1.0	e_cigarette_store	e_cigarette_store:2|shopping:1	False
sfera	Sfera	3	0	store	womens_clothing	0.667	womens_clothing_store	womens_clothing_store:2|clothing_store:1	False
2smok	2Smok	3	0	store	e_cigarette	1.0	e_cigarette_store	e_cigarette_store:3	False
celeiro do	Celeiro do	3	1	store	furniture	1.0	furniture_store	furniture_store:2|shopping:1	False
pe d	Pé d'Alface	3	0	store	shoes	0.667	shoe_store	shoe_store:2|clothing_store:1	False
boconcept	BoConcept	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
moveis paulo	Móveis Paulo	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
giovanni galli	Giovanni Galli	3	0	store	mens_clothing	0.667	mens_clothing_store	mens_clothing_store:2|clothing_store:1	False
garrafeira baco	Garrafeira Baco	3	0	store	wine_and_spirits	1.0	liquor_store	liquor_store:3	False
zwilling	ZWILLING	3	0	store	kitchen_supply	1.0	kitchen_supply_store	kitchen_supply_store:3	False
home cook	Home &	3	0	store	kitchen_supply	1.0	kitchen_supply_store	kitchen_supply_store:3	False
faconnable outlet	Façonnable Outlet	3	0	store	mens_clothing	1.0	mens_clothing_store	mens_clothing_store:3	False
ecco outlet	ECCO Outlet	3	0	store	shoes	0.667	shoe_store	shoe_store:2|kitchen_supply_store:1	False
moda jovem	Moda Jovem	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
eurofirms people	Eurofirms People	3	1	store	kitchen_supply	1.0	kitchen_supply_store	kitchen_supply_store:2|shopping:1	False
throttleman	Throttleman	3	0	store	mens_clothing	0.667	mens_clothing_store	mens_clothing_store:2|clothing_store:1	False
sacoor blue	Sacoor Blue	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
moveis santa	Móveis Santa	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
moveis jose	Móveis José	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
sapataria pedro	Sapataria Pedro	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
livraria do	Livraria Do	3	0	store	books	1.0	bookstore	bookstore:3	False
sapataria a	Sapataria A	3	0	store	shoes	1.0	shoe_store	shoe_store:3	False
brico depot	Brico Depôt	3	0	store	hardware	1.0	home_improvement_store	home_improvement_store:2|hardware_store:1	True
moveis teixeira	Móveis Teixeira	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
webmoveis	Webmóveis	3	0	store	furniture	1.0	furniture_store	furniture_store:3	False
mira serra	Mira Serra	3	0	store	tobacco	1.0	tobacco_shop	tobacco_shop:3	False
cigavapor	Cigavapor	3	0	store	e_cigarette	1.0	e_cigarette_store	e_cigarette_store:3	False
